Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
1.2.1.61-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.2.1.65-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.2.1.66-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.67-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.2.1.9-RXN	NA	Energy Metabolism	Carbohydrates Metabolism	NA	NA	NA	NA	NA
1.2.3.13-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.2.3.14-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.2.4.4-RXN	NA	Amino Acids Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
1.2.7.6-RXN	NA	Energy Metabolism	Carbohydrates Metabolism	NA	NA	NA	NA	NA
1.2.7.7-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.20.4.2-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
1.20.99.1-RXN	NA	Other	Detoxification Metabolism	Energy Metabolism	NA	NA	NA	NA
1.21.3.1-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.3.1.19-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.1.20-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.3.1.25-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.1.29-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.1.2-RXN	NA	Amino Acids Metabolism	Cofactors Metabolism	NA	NA	NA	NA	NA
1.3.1.54-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.3.1.56-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.1.62-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.1.71-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.3.1.73-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.3.1.77-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.3.1.9-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.3.3.9-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.3.7.2-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.3.7.3-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.3.7.4-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.3.7.5-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.3.99.15-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.3.99.17-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.3.99.23-RXN	NA	Cofactors Metabolism	Fatty Acids and Lipids Metabolism	Specialized Metabolism	NA	NA	NA	NA
1.3.99.5-RXN	NA	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
1.4.1.11-RXN	NA	Energy Metabolism	Amino Acids Metabolism	NA	NA	NA	NA	NA
1.4.99.5-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.5.1.15-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.5.1.19-RXN	NA	Amino Acids Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.5.1.20-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.5.1.25-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.5.1.27-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.5.1.32-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.5.1.7-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.5.1.8-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.5.1.9-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.5.3.12-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.5.3.17-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
1.5.4.1-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.5.5.1-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.5.99.12-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.5.99.9-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.6.1.2-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.6.4.4-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
1.6.5.4-RXN	NA	Cofactors Metabolism	Redox Metabolism	NA	NA	NA	NA	NA
1.6.5.6-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.6.5.7-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.6.99.5-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.7.2.2-RXN	NA	Energy Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
1.7.7.2-RXN	NA	Amino Acids Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
1.7.99.8-RXN	NA	Energy Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
1.8.1.15-RXN	NA	Cofactors Metabolism	Detoxification Metabolism	NA	NA	NA	NA	NA
1.8.1.4-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.8.1.5-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.8.3.5-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
1.8.4.12-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
1.8.4.14-RXN	NA	Redox Metabolism	NA	NA	NA	NA	NA	NA
1.8.4.8-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
1.8.4.9-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
1.8.5.1-RXN	NA	Detoxification Metabolism	Redox Metabolism	Cofactors Metabolism	NA	NA	NA	NA
1.8.5.2-RXN	NA	Energy Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
1.8.98.1-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.8.98.2-RXN	NA	Redox Metabolism	NA	NA	NA	NA	NA	NA
1.97.1.11-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.97.1.1-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.97.1.2-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.97.1.8-RXN	NA	Other	NA	NA	NA	NA	NA	NA
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
12-ALPHA-L-FUCOSIDASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
12-OXOPHYTODIENOATE-REDUCTASE-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
13-BETA-GLUCAN-SYNTHASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
13-PROPANEDIOL-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
14-LACTONASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1PFRUCTPHOSN-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	NA	Other	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA
1TRANSKETO-RXN	NA	Carbohydrates Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
2.1.1.100-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.103-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.109-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.110-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.114-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.116-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.117-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.118-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.119-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.120-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.121-RXN	NA	Amino Acids Metabolism	Specialized Metabolism	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.125-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.126-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.127-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.128-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.129-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.130-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.131-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
